variant,alpha_late,beta_fn,gamma_fp,f1,balanced_acc,precision,recall,specificity,fpr,fnr,avg_early_detection,avg_late_detection,early_detection_rate,composite
A,0.5,225,150,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,7.888888888888889,2.0,0.42857142857142855,0.7824175824175824
A,0.5,225,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.0,2.0,0.42857142857142855,0.8238095238095239
A,0.5,300,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.0,2.0,0.42857142857142855,0.8238095238095239
A,0.5,300,200,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,8.714285714285714,2.0,0.3333333333333333,0.7728937728937729
A,0.5,450,150,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,7.625,2.0,0.38095238095238093,0.7776556776556777
A,0.5,450,200,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,7.75,2.0,0.38095238095238093,0.7776556776556777
A,0.5,450,300,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,7.75,2.0,0.38095238095238093,0.7776556776556777
A,1.0,225,150,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,7.888888888888889,2.0,0.42857142857142855,0.7824175824175824
A,1.0,225,200,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,7.777777777777778,2.0,0.42857142857142855,0.7824175824175824
A,1.0,300,150,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,7.777777777777778,2.0,0.42857142857142855,0.7824175824175824
A,1.0,300,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.4,2.0,0.47619047619047616,0.8285714285714287
A,1.0,450,150,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,8.0,2.0,0.42857142857142855,0.7824175824175824
A,1.0,450,200,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,7.75,2.0,0.38095238095238093,0.7776556776556777
A,1.0,450,300,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,9.0,2.0,0.42857142857142855,0.8238095238095239
A,1.5,225,150,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,8.0,2.0,0.42857142857142855,0.7824175824175824
A,1.5,225,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.0,3.0,0.42857142857142855,0.8238095238095239
A,1.5,300,150,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,8.0,2.0,0.42857142857142855,0.7824175824175824
A,1.5,300,200,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,8.2,3.0,0.47619047619047616,0.8690476190476191
A,1.5,450,150,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,8.3,3.0,0.47619047619047616,0.8690476190476191
A,1.5,450,200,0.8461538461538461,0.8214285714285714,0.9166666666666666,0.7857142857142857,0.8571428571428571,0.14285714285714285,0.21428571428571427,8.0,2.0,0.42857142857142855,0.7824175824175824
A,1.5,450,300,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.0,3.0,0.42857142857142855,0.8238095238095239
A,2.0,225,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.888888888888889,3.0,0.42857142857142855,0.8238095238095239
A,2.0,225,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
A,2.0,300,150,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,8.3,3.0,0.47619047619047616,0.8690476190476191
A,2.0,300,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.0,3.0,0.42857142857142855,0.8238095238095239
A,2.0,450,150,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,8.4,3.0,0.47619047619047616,0.8690476190476191
A,2.0,450,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.0,3.0,0.42857142857142855,0.8238095238095239
A,2.0,450,300,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.1,2.0,0.47619047619047616,0.8285714285714287
B,0.5,225,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,0.5,225,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,0.5,300,150,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.4,3.0,0.47619047619047616,0.8690476190476191
B,0.5,300,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,0.5,450,150,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.3,3.0,0.47619047619047616,0.8690476190476191
B,0.5,450,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,0.5,450,300,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.4,3.0,0.47619047619047616,0.8690476190476191
B,1.0,225,150,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.14285714285714285,7.0,3.0,0.42857142857142855,0.7857142857142857
B,1.0,225,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,1.0,300,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,6.888888888888889,3.0,0.42857142857142855,0.8238095238095239
B,1.0,300,200,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.3,3.0,0.47619047619047616,0.8690476190476191
B,1.0,450,150,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.4,3.0,0.47619047619047616,0.8690476190476191
B,1.0,450,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,6.888888888888889,3.0,0.42857142857142855,0.8238095238095239
B,1.0,450,300,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,6.888888888888889,3.0,0.42857142857142855,0.8238095238095239
B,1.5,225,150,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.3,3.0,0.47619047619047616,0.8690476190476191
B,1.5,225,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,1.5,300,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,1.5,300,200,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.4,3.0,0.47619047619047616,0.8690476190476191
B,1.5,450,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,6.888888888888889,3.0,0.42857142857142855,0.8238095238095239
B,1.5,450,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,1.5,450,300,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,2.0,225,150,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.14285714285714285,7.0,3.0,0.42857142857142855,0.7857142857142857
